lei,scope,refPeriod,bank_name,country,institution_type,trea_eur,lr_exposure_eur,rwa_density,ov1_total_eur,ov1_abweichung,ov1_teile_summe,ov1_teile_stimmt,anteil_kredit,anteil_ccr,anteil_markt,anteil_operationell,kredit_sa_anteil,kredit_irb_anteil,ansatz,skalenverdacht,plausibel
213800M7T3CYVZ3ZRT12,CON,2025-06-30,Sparebanken Norge,Norway,Large highest EEA,17159963191.41,48886608950.54,0.351,17159963191.41,0.0,17159963191.41,true,0.9126,0.0018,,0.0791,0.5325,0.4675,gemischt,false,true
213800M7T3CYVZ3ZRT12,CON,2025-09-30,Sparebanken Norge,Norway,Large highest EEA,17971905647.48,52076326954.48,0.3451,17971905647.48,0.0,17971905647.48,true,0.9128,0.0052,,0.0763,0.4756,0.5244,gemischt,false,true
213800M7T3CYVZ3ZRT12,CON,2025-12-31,Sparebanken Norge,Norway,Large highest EEA,18031175996.05,49080618740.54,0.3674,18031175996.05,0.0,18031175996.05,true,0.9075,0.0048,,0.0822,0.4222,0.5778,gemischt,false,true
213800M7T3CYVZ3ZRT12,CON,2026-03-31,Sparebanken Norge,Norway,Large highest EEA,19124142307.07,51395155714.48,0.3721,19124142307.07,0.0,19124142307.07,true,0.9085,0.0046,,0.0818,0.4066,0.5934,gemischt,false,true
213800MLL4APN9UP1J53,IND,2025-12-31,Rise Sparekasse,Denmark,Other highest EEA,99176924.3,308422414.12,0.3216,99176924.3,0.0,99176924.3,true,0.6306,,0.2015,0.1679,1.0,,SA,unbekannt,true
213800P1P13ABO5R9V78,IND,2025-12-31,Societe Generale Bank - Cyprus Ltd,Cyprus,Other highest EEA,412951.0,738816.91,0.5589,412951.0,0.0,412951.0,true,0.9213,,,0.0787,1.0,,SA,unbekannt,true
213800RENLNKMWZV8767,CON,2025-12-31,Lollands Bank A/S,Denmark,Other highest EEA,363219901.73,815103624.67,0.4456,363219901.73,0.0,363219901.73,true,0.7422,0.0,0.1264,0.1313,1.0,,SA,unbekannt,true
213800RZWHE5EUX9R444,CON,2025-12-31,Luminor Holding AS,Estonia,Large highest EEA,7899514109.64,16687481004.14,0.4734,7899514109.64,0.0,7899514109.64,true,0.8933,0.0063,0.001,0.0986,1.0,,SA,unbekannt,true
213800TC9PZRBHMJW403,CON,2025-06-30,MDB Group Limited,Malta,Large subsidiaries,1261.39,4990.25,0.2528,1261.39,0.0,1261.39,true,0.8168,0.0093,,0.1037,1.0,,SA,false,true
213800TC9PZRBHMJW403,CON,2025-09-30,MDB Group Limited,Malta,Large subsidiaries,1192.61,5104.79,0.2336,1192.61,0.0,1192.61,true,0.8107,0.0099,,0.1097,1.0,,SA,false,true
213800TC9PZRBHMJW403,CON,2025-12-31,MDB Group Limited,Malta,Large subsidiaries,1192.84,5185.94,0.23,1192.84,0.0,1192.84,true,0.8179,0.0096,,0.1098,1.0,,SA,false,true
213800TKOS7J5UA3ZI07,IND,2025-12-31,EUROPE ARAB BANK SA,France,Other highest EEA,440917666.22,1064610783.09,0.4142,440917666.22,0.0,440917666.22,true,0.9422,,,0.0578,1.0,,SA,unbekannt,true
213800UIIZ6YSEQB5S26,CON,2025-12-31,Clearstream Fund Centre Holding S.A.,Luxembourg,Other highest EEA,605032324.25,1083881851.65,0.5582,605373453.1,0.000564,605373453.1,true,0.1888,0.0018,0.0453,0.7636,1.0,,SA,unbekannt,true
213800UK7516IBWZO445,IND,2025-12-31,Borbjerg Sparekasse,Denmark,Other highest EEA,66036351.21,127797697.31,0.5167,66036351.21,0.0,66036351.21,true,0.813,,0.0874,0.0996,1.0,,SA,unbekannt,true
213800UYAHIRLZ4NSN67,IND,2025-06-30,Lån & Spar Bank A/S,Denmark,Other highest EEA,1925567404.45,6204204004.42,0.3104,,,,,,,,,,,unbekannt,false,true
213800UYAHIRLZ4NSN67,IND,2025-12-31,Lån & Spar Bank A/S,Denmark,Other highest EEA,2038235760.62,6345285781.85,0.3212,2038235760.62,0.0,2038235760.62,true,0.7423,0.0035,0.0986,0.1536,0.4858,0.469,gemischt,false,true
213800X3Q9LSAKRUWY91,CON,2026-03-31,KBC Groupe,Belgium,Large highest EEA,132591473891.37,387554123017.34,0.3421,132591473891.37,0.0,132591473891.37,true,0.8087,0.0197,0.0207,0.134,0.3918,0.6044,gemischt,unbekannt,true
213800ZOI1EW481WPV90,IND,2025-12-31,FCM Bank Ltd,Malta,Other highest EEA,462944114.0,590851045.0,0.7835,462944114.0,0.0,462944114.0,true,0.9539,,,0.0461,1.0,,SA,unbekannt,true
22210058UCKT3BJTCN24,CON,2025-06-30,OTP Luxembourg S.à r.l.,Luxembourg,Large subsidiaries,7558603000.0,15911302000.0,0.475,,,,,,,,,,,unbekannt,false,true
22210058UCKT3BJTCN24,CON,2025-12-31,OTP Luxembourg S.à r.l.,Luxembourg,Large subsidiaries,7880667000.0,16357427000.0,0.4818,7880667000.0,0.0,7880668000.0,true,0.8937,0.0029,0.0001,0.1029,1.0,,SA,false,true
222100PG81CES7H3HZ28,CON,2025-12-31,Aneto S.à r.l.,Luxembourg,Other highest EEA,1616964000.0,3495457000.0,0.4626,1616964000.0,0.0,1616964000.0,true,0.7884,0.0023,,0.1848,1.0,,SA,unbekannt,true
222100V03Y766EM5TZ83,IND,2025-12-31,Brown Brothers Harriman (Luxembourg) S.C.A.,Luxembourg,,382554859.77,165691880.77,2.3088,382554859.77,0.0,382554859.77,true,0.2304,,0.0191,0.7505,1.0,,SA,unbekannt,true
2534005A84927EKSR789,CON,2025-12-31,Signet Bank AS,Latvia,Other highest EEA,378333168.92,713659033.83,0.5301,378333168.92,0.0,378333168.92,true,0.8306,0.0062,0.0007,0.1612,1.0,,SA,unbekannt,true
254900RNFMDM0P11YR84,CON,2025-06-30,Atlantic Lux HoldCo S.à r.l.,Luxembourg,Large highest EEA,13313427595.2,46230307018.3,0.288,13313427595.2,0.0,13313427595.2,true,0.8201,0.0263,0.0072,0.1342,0.1465,0.8535,gemischt,false,true
254900RNFMDM0P11YR84,CON,2025-09-30,Atlantic Lux HoldCo S.à r.l.,Luxembourg,Large highest EEA,12833792486.59,46425799139.94,0.2764,12833792486.59,0.0,12820912638.54,false,0.8214,0.0264,,0.1393,0.1204,0.8796,gemischt,false,true
254900WR3I1Z9NPC7D84,CON,2025-12-31,Kvika banki hf.,Iceland,Other highest EEA,1268144806.6,2173053267.0,0.5836,1268144806.6,0.0,1388823272.9,false,0.8239,0.0216,0.0293,0.1098,1.0,,SA,unbekannt,true
2594000ZNGGQZXZKXH36,CON,2025-12-31,VELOBANK SA,Poland,Other highest EEA,3584045786.83,13026279872.3,0.2751,3584045786.83,0.0,3584045786.83,true,0.8387,0.0045,0.0003,0.1505,1.0,,SA,unbekannt,true
259400BILZFH923Q1N56,IND,2025-12-31,WARMINSKO - MAZURSKI BANK SPOLDZIELCZY,Poland,Other highest EEA,143086041.82,310090044.85,0.4614,143086041.82,0.0,143086041.82,true,0.9231,,,0.0769,1.0,,SA,unbekannt,true
