lei,name,land,ezb_kopf_lei,ezb_kopf_name,gleif_kopf_lei,gleif_kopf_name,ezb_kopf_ist_selbst,gleif_kopf_in_ezb_liste,urteil
5493009ML6YX83YHC820,Argenta Bank- en Verzekeringsgroep nv,Belgium,5493008QOCP58OLEN998,Investeringsmaatschappij Argenta NV ; Société d'investissements Argenta SA ; Investierungsgesellschaft Argenta AG,5493008QOCP58OLEN998,Investeringsmaatschappij Argenta NV ; Société d'investissements Argenta SA ; Investierungsgesellschaft Argenta AG,nein,ja,identisch
549300A2F46GR0UOM390,Erste&Steiermärkische Bank d.d.,Croatia,PQOH26KWDF7CG10L6792,Erste Group Bank AG,PQOH26KWDF7CG10L6792,Erste Group Bank AG,nein,ja,identisch
549300DVPJYGNF2P7B03,Steiermärkische Bank und Sparkassen Aktiengesellschaft,Austria,PQOH26KWDF7CG10L6792,Erste Group Bank AG,PQOH26KWDF7CG10L6792,Erste Group Bank AG,nein,ja,identisch
549300FH0WJAPEHTIQ77,BofA Securities Europe SA,France,549300FH0WJAPEHTIQ77,BofA Securities Europe SA,9DJT3UXIJIZJI4WXO774,,ja,nein,ssm_schnitt
549300HFEHJOXGE4ZE63,SFIL S.A.,France,549300HFEHJOXGE4ZE63,SFIL S.A.,969500Q2PFTTP0Y5QL44,,ja,nein,ssm_schnitt
549300HUKIA1IZQHFZ83,Erste Bank der oesterreichischen Sparkassen AG,Austria,PQOH26KWDF7CG10L6792,Erste Group Bank AG,PQOH26KWDF7CG10L6792,Erste Group Bank AG,nein,ja,identisch
549300J0GSZ83GTKBZ89,OTP banka d.d.,Slovenia,22210058UCKT3BJTCN24,OTP Luxembourg S.à.r.l.,529900W3MOO00A18X956,,nein,nein,ssm_schnitt
549300JB1P61FUTPEZ75,"Všeobecná úverová banka, a.s.",Slovakia,2W8N8UU78PMDQKZENC08,Intesa Sanpaolo S.p.A.,2W8N8UU78PMDQKZENC08,Intesa Sanpaolo S.p.A.,nein,ja,identisch
549300ND1MQ8SNNYMJ22,AS SEB Pank,Estonia,549300ND1MQ8SNNYMJ22,AS SEB Pank,F3JS33DEI6XQ4ZBPTN86,,ja,nein,ssm_schnitt
549300O2UN9JLME31F08,UniCredit Banka Slovenija d.d.,Slovenia,549300TRUWO2CD2G5692,UniCredit S.p.A.,549300TRUWO2CD2G5692,UniCredit S.p.A.,nein,ja,identisch
549300S2T3FWVVXWJI89,"Slovenská sporiteľňa, a.s.",Slovakia,PQOH26KWDF7CG10L6792,Erste Group Bank AG,PQOH26KWDF7CG10L6792,Erste Group Bank AG,nein,ja,identisch
549300SBPFE9JX7N8J82,AB SEB bankas,Lithuania,549300SBPFE9JX7N8J82,AB SEB bankas,F3JS33DEI6XQ4ZBPTN86,,ja,nein,ssm_schnitt
549300U4LIZV0REEQQ46,"Kutxabank, S.A.",Spain,549300U4LIZV0REEQQ46,"Kutxabank, S.A.",95980020140006031928,,ja,nein,ssm_schnitt
549300URJH9VSI58CS32,Banco Santander Totta S.A.,Portugal,5493006QMFDDMYWIAM13,"Banco Santander, S.A.",5493006QMFDDMYWIAM13,"Banco Santander, S.A.",nein,ja,identisch
549300V1VN70Q7PQ7234,CA Auto Bank S.p.A.,Italy,969500TJ5KRTCJQWXH05,Crédit Agricole S.A.,969500TJ5KRTCJQWXH05,Crédit Agricole S.A.,nein,ja,identisch
549300X34UUBDEUL1Z91,HSBC Bank Malta p.l.c.,Malta,F0HUI1NY1AZMJMD8LP67,HSBC Continental Europe,MLU0ZO3ML4LN2LL2TL39,,nein,nein,ssm_schnitt
549300XGJX6FOWLOI640,Fideuram - Intesa Sanpaolo Private Banking S.p.A.,Italy,2W8N8UU78PMDQKZENC08,Intesa Sanpaolo S.p.A.,2W8N8UU78PMDQKZENC08,Intesa Sanpaolo S.p.A.,nein,ja,identisch
