lei,scope,refPeriod,bank_name,country,institution_type,szenario,szenario_label,delta_eve_eur,delta_nii_eur,tier1_eur,quote_eve,quote_nii,sot_eve,sot_nii,vorbehalt
213800TC9PZRBHMJW403,CON,2025-12-31,MDB Group Limited,Malta,Large subsidiaries,0020,Parallelverschiebung runter,-11,-11,248,-0.0429,-0.0452,,,skala
213800TC9PZRBHMJW403,CON,2025-12-31,MDB Group Limited,Malta,Large subsidiaries,0030,Steepener,7,,248,0.0295,,,,skala
213800TC9PZRBHMJW403,CON,2025-12-31,MDB Group Limited,Malta,Large subsidiaries,0040,Flattener,-3,,248,-0.0138,,,,skala
213800TC9PZRBHMJW403,CON,2025-12-31,MDB Group Limited,Malta,Large subsidiaries,0050,kurze Zinsen hoch,-7,,248,-0.0278,,,,skala
213800TC9PZRBHMJW403,CON,2025-12-31,MDB Group Limited,Malta,Large subsidiaries,0060,kurze Zinsen runter,3,,248,0.0131,,,,skala
213800UIIZ6YSEQB5S26,CON,2025-12-31,Clearstream Fund Centre Holding S.A.,Luxembourg,Other highest EEA,0010,Parallelverschiebung hoch,244153,3553268,183619786,0.0013,0.0194,nein,nein,
213800UIIZ6YSEQB5S26,CON,2025-12-31,Clearstream Fund Centre Holding S.A.,Luxembourg,Other highest EEA,0020,Parallelverschiebung runter,672085,-8074951,183619786,0.0037,-0.0440,nein,nein,
213800UIIZ6YSEQB5S26,CON,2025-12-31,Clearstream Fund Centre Holding S.A.,Luxembourg,Other highest EEA,0030,Steepener,169617,,183619786,0.0009,,nein,,
213800UIIZ6YSEQB5S26,CON,2025-12-31,Clearstream Fund Centre Holding S.A.,Luxembourg,Other highest EEA,0040,Flattener,-278502,,183619786,-0.0015,,nein,,
213800UIIZ6YSEQB5S26,CON,2025-12-31,Clearstream Fund Centre Holding S.A.,Luxembourg,Other highest EEA,0050,kurze Zinsen hoch,-96389,,183619786,-0.0005,,nein,,
213800UIIZ6YSEQB5S26,CON,2025-12-31,Clearstream Fund Centre Holding S.A.,Luxembourg,Other highest EEA,0060,kurze Zinsen runter,47850,,183619786,0.0003,,nein,,
213800UYAHIRLZ4NSN67,IND,2025-12-31,Lån & Spar Bank A/S,Denmark,Other highest EEA,0010,Parallelverschiebung hoch,-4262013,1942340,449577061,-0.0095,0.0043,nein,nein,
213800UYAHIRLZ4NSN67,IND,2025-12-31,Lån & Spar Bank A/S,Denmark,Other highest EEA,0020,Parallelverschiebung runter,6080055,-844221,449577061,0.0135,-0.0019,nein,nein,
213800UYAHIRLZ4NSN67,IND,2025-12-31,Lån & Spar Bank A/S,Denmark,Other highest EEA,0030,Steepener,-1597239,,449577061,-0.0036,,nein,,
213800UYAHIRLZ4NSN67,IND,2025-12-31,Lån & Spar Bank A/S,Denmark,Other highest EEA,0040,Flattener,877107,,449577061,0.0020,,nein,,
213800UYAHIRLZ4NSN67,IND,2025-12-31,Lån & Spar Bank A/S,Denmark,Other highest EEA,0050,kurze Zinsen hoch,-1488946,,449577061,-0.0033,,nein,,
213800UYAHIRLZ4NSN67,IND,2025-12-31,Lån & Spar Bank A/S,Denmark,Other highest EEA,0060,kurze Zinsen runter,965535,,449577061,0.0021,,nein,,
213800X3Q9LSAKRUWY91,CON,2025-06-30,KBC Groupe,Belgium,Large highest EEA,0010,Parallelverschiebung hoch,-994605279,27257355,,,,,,
213800X3Q9LSAKRUWY91,CON,2025-06-30,KBC Groupe,Belgium,Large highest EEA,0020,Parallelverschiebung runter,183692852,-417018643,,,,,,
213800X3Q9LSAKRUWY91,CON,2025-06-30,KBC Groupe,Belgium,Large highest EEA,0030,Steepener,-10730711,,,,,,,
213800X3Q9LSAKRUWY91,CON,2025-06-30,KBC Groupe,Belgium,Large highest EEA,0040,Flattener,-230636565,,,,,,,
213800X3Q9LSAKRUWY91,CON,2025-06-30,KBC Groupe,Belgium,Large highest EEA,0050,kurze Zinsen hoch,-440974452,,,,,,,
213800X3Q9LSAKRUWY91,CON,2025-06-30,KBC Groupe,Belgium,Large highest EEA,0060,kurze Zinsen runter,219500721,,,,,,,
213800X3Q9LSAKRUWY91,CON,2025-12-31,KBC Groupe,Belgium,Large highest EEA,0010,Parallelverschiebung hoch,-1335657490,-49821303,,,,,,
213800X3Q9LSAKRUWY91,CON,2025-12-31,KBC Groupe,Belgium,Large highest EEA,0020,Parallelverschiebung runter,460740741,-213641022,,,,,,
213800X3Q9LSAKRUWY91,CON,2025-12-31,KBC Groupe,Belgium,Large highest EEA,0030,Steepener,38488580,,,,,,,
213800X3Q9LSAKRUWY91,CON,2025-12-31,KBC Groupe,Belgium,Large highest EEA,0040,Flattener,-345580795,,,,,,,
213800X3Q9LSAKRUWY91,CON,2025-12-31,KBC Groupe,Belgium,Large highest EEA,0050,kurze Zinsen hoch,-684380941,,,,,,,
213800X3Q9LSAKRUWY91,CON,2025-12-31,KBC Groupe,Belgium,Large highest EEA,0060,kurze Zinsen runter,350978233,,,,,,,
22210058UCKT3BJTCN24,CON,2025-12-31,OTP Luxembourg S.à r.l.,Luxembourg,Large subsidiaries,0010,Parallelverschiebung hoch,-111088000,-13677000,1557022000,-0.0713,-0.0088,nein,nein,
