kri,kri_name,refPeriod,country_iso,country,eba_wert,unser_wert,differenz_pp,n_institute,n_ausgeschlossen_gruppe,n_ausgeschlossen_skala
SVC_2,Total capital ratio,2025-06-30,EE,Estonia,0.243775,0.181229,-6.255,2,1,0
SVC_2,Total capital ratio,2025-06-30,ES,Spain,0.174497,0.173398,-0.11,10,0,0
SVC_2,Total capital ratio,2025-06-30,FI,Finland,0.207032,0.208007,0.098,5,0,0
SVC_2,Total capital ratio,2025-06-30,FR,France,0.195997,0.187302,-0.87,15,3,0
SVC_2,Total capital ratio,2025-06-30,GR,Greece,0.206491,0.208865,0.237,2,0,1
SVC_2,Total capital ratio,2025-06-30,HR,Croatia,0.21159,0.198912,-1.268,2,2,0
SVC_2,Total capital ratio,2025-06-30,HU,Hungary,0.19866,0.19866,0.0,3,1,0
SVC_2,Total capital ratio,2025-06-30,IE,Ireland,0.220992,0.206254,-1.474,4,0,0
SVC_2,Total capital ratio,2025-06-30,IT,Italy,0.202825,0.203068,0.024,15,3,0
SVC_2,Total capital ratio,2025-06-30,LI,Liechtenstein,0.192474,0.184771,-0.77,2,0,0
SVC_2,Total capital ratio,2025-06-30,LU,Luxembourg,0.241027,0.240009,-0.102,3,0,0
SVC_2,Total capital ratio,2025-06-30,LV,Latvia,0.255394,0.225762,-2.963,1,2,0
SVC_2,Total capital ratio,2025-06-30,MT,Malta,0.27219,0.253986,-1.82,3,0,0
SVC_2,Total capital ratio,2025-06-30,NL,Netherlands,0.2143,0.193965,-2.033,5,1,0
SVC_2,Total capital ratio,2025-06-30,NO,Norway,0.229182,0.227206,-0.198,4,0,0
SVC_2,Total capital ratio,2025-06-30,PL,Poland,0.174657,0.172018,-0.264,4,4,0
SVC_2,Total capital ratio,2025-06-30,PT,Portugal,0.202968,0.204423,0.145,3,0,0
SVC_2,Total capital ratio,2025-06-30,SE,Sweden,0.226898,0.213538,-1.336,8,0,0
SVC_2,Total capital ratio,2025-06-30,SK,Slovakia,0.200836,0.196934,-0.39,1,2,0
SVC_2,Total capital ratio,2025-09-30,AT,Austria,0.220517,0.213252,-0.726,3,1,0
SVC_2,Total capital ratio,2025-09-30,BE,Belgium,0.214306,0.267946,5.364,3,2,0
SVC_2,Total capital ratio,2025-09-30,CY,Cyprus,0.302064,0.172821,-12.924,1,0,0
SVC_2,Total capital ratio,2025-09-30,DE,Germany,0.224319,0.212059,-1.226,8,2,1
SVC_2,Total capital ratio,2025-09-30,DK,Denmark,0.222532,0.221215,-0.132,2,0,0
SVC_2,Total capital ratio,2025-09-30,EE,Estonia,0.240194,0.1934,-4.679,1,0,0
SVC_2,Total capital ratio,2025-09-30,ES,Spain,0.176067,0.175503,-0.056,8,0,0
SVC_2,Total capital ratio,2025-09-30,FI,Finland,0.218157,0.21298,-0.518,2,0,0
SVC_2,Total capital ratio,2025-09-30,FR,France,0.19607,0.177239,-1.883,6,2,0
SVC_2,Total capital ratio,2025-09-30,GR,Greece,0.203008,0.208658,0.565,2,0,0
SVC_2,Total capital ratio,2025-09-30,HR,Croatia,0.212977,0.197604,-1.537,1,2,0
SVC_2,Total capital ratio,2025-09-30,HU,Hungary,0.202918,0.202858,-0.006,3,0,0
SVC_2,Total capital ratio,2025-09-30,IE,Ireland,0.213505,0.203912,-0.959,5,0,0
SVC_2,Total capital ratio,2025-09-30,IT,Italy,0.199217,0.198562,-0.065,13,1,0
SVC_2,Total capital ratio,2025-09-30,LU,Luxembourg,0.23798,0.250244,1.226,2,0,0
SVC_2,Total capital ratio,2025-09-30,LV,Latvia,0.246855,0.224644,-2.221,1,0,0
SVC_2,Total capital ratio,2025-09-30,MT,Malta,0.274326,0.281204,0.688,2,0,0
SVC_2,Total capital ratio,2025-09-30,NL,Netherlands,0.215331,0.193279,-2.205,3,0,0
SVC_2,Total capital ratio,2025-09-30,NO,Norway,0.224005,0.215779,-0.823,1,0,0
SVC_2,Total capital ratio,2025-09-30,PL,Poland,0.177189,0.176057,-0.113,2,4,0
SVC_2,Total capital ratio,2025-09-30,PT,Portugal,0.204934,0.198317,-0.662,2,0,0
SVC_2,Total capital ratio,2025-09-30,RO,Romania,0.227402,0.198172,-2.923,1,1,0
SVC_2,Total capital ratio,2025-09-30,SE,Sweden,0.230767,0.230734,-0.003,6,0,0
SVC_2,Total capital ratio,2025-09-30,SI,Slovenia,0.182172,0.178581,-0.359,1,0,0
SVC_2,Total capital ratio,2025-09-30,SK,Slovakia,0.200566,0.197753,-0.281,1,2,0
SVC_2,Total capital ratio,2025-12-31,AT,Austria,0.232805,0.216102,-1.67,14,1,0
SVC_2,Total capital ratio,2025-12-31,BE,Belgium,0.214183,0.263651,4.947,4,2,0
SVC_2,Total capital ratio,2025-12-31,BG,Bulgaria,0.230271,0.214059,-1.621,3,1,0
SVC_2,Total capital ratio,2025-12-31,CY,Cyprus,0.306359,0.333901,2.754,2,1,0
SVC_2,Total capital ratio,2025-12-31,DE,Germany,0.226463,0.203421,-2.304,23,3,0
SVC_2,Total capital ratio,2025-12-31,DK,Denmark,0.21157,0.214471,0.29,12,0,0
SVC_2,Total capital ratio,2025-12-31,EE,Estonia,0.245212,0.219543,-2.567,5,1,0
SVC_2,Total capital ratio,2025-12-31,ES,Spain,0.176858,0.178147,0.129,16,1,0
SVC_2,Total capital ratio,2025-12-31,FI,Finland,0.221374,0.221317,-0.006,8,0,0
SVC_2,Total capital ratio,2025-12-31,FR,France,0.197739,0.188988,-0.875,15,3,1
SVC_2,Total capital ratio,2025-12-31,GR,Greece,0.200324,0.202882,0.256,3,0,0
SVC_2,Total capital ratio,2025-12-31,HR,Croatia,0.210481,0.199984,-1.05,2,3,0
SVC_2,Total capital ratio,2025-12-31,HU,Hungary,0.201717,0.201662,-0.005,3,3,0
SVC_2,Total capital ratio,2025-12-31,IE,Ireland,0.218966,0.222242,0.328,4,0,0
SVC_2,Total capital ratio,2025-12-31,IS,Iceland,0.238944,0.244164,0.522,3,0,0
