institution_type,template_id,template_title,n_institute,frequenz,muster_modal,anteil_modal,eindeutig,n_vierteljaehrlich,n_halbjaehrlich,n_jaehrlich,n_nie,n_uneinheitlich
Large subsidiaries,26.01,EU CR6-A – Scope of the use of IRB and SA approaches,21,nie,0000,0.667,ja,0,0,7,14,0
Large subsidiaries,27.01,EU CR7 – IRB approach – Effect on the RWEAs of credit derivatives used as CRM techniques,21,halbjaehrlich,1010,0.667,ja,0,14,0,7,0
Large subsidiaries,27.02,EU CR7-A – IRB approach – Disclosure of the extent of the use of CRM techniques,21,halbjaehrlich,1010,0.81,ja,0,17,0,4,0
Large subsidiaries,28.00,EU CR8 –  RWEA flow statements of credit risk exposures under the IRB approach,21,vierteljaehrlich,1111,0.762,ja,16,1,0,4,0
Large subsidiaries,29.00,EU CR9 –IRB approach – Back-testing of PD per exposure class (fixed PD scale),21,nie,0000,0.714,ja,0,0,6,15,0
Large subsidiaries,29.01,EU CR9.1 –IRB approach – Back-testing of PD per exposure class (only for PD estimates according to point (f) of Article 180(1) CRR) (II),21,nie,0000,0.857,ja,0,0,3,18,0
Large subsidiaries,29.02,EU CR10 –  Specialised lending and equity exposures under the simple riskweighted approach,21,halbjaehrlich,1010,0.762,ja,0,16,0,5,0
Large subsidiaries,30.01,EU REM1 - Remuneration awarded for the financial year,1,uneinheitlich,0010,1.0,nein,0,0,1,0,0
Large subsidiaries,30.02,EU REM2 - Special payments  to staff whose professional activities have a material impact on institutions’ risk profile (identified staff),1,uneinheitlich,0000,1.0,nein,0,0,0,1,0
Large subsidiaries,30.03,EU REM3 - Deferred remuneration,1,uneinheitlich,0010,1.0,nein,0,0,1,0,0
Large subsidiaries,30.04,EU REM4 - Remuneration of 1 million EUR or more per year,1,uneinheitlich,0010,1.0,nein,0,0,1,0,0
Large subsidiaries,30.05,EU REM5 - Information on remuneration of staff whose professional activities have a material impact on institutions’ risk profile (identified staff) (II),1,uneinheitlich,0010,1.0,nein,0,0,1,0,0
Large subsidiaries,41.00,"Template 1 - Banking book- Indicators of potential climate Change transition risk: Credit quality of exposures by sector, emissions and residual maturity",1,uneinheitlich,0000,1.0,nein,0,0,0,1,0
Large subsidiaries,42.00,Template 2 - Banking book - Indicators of potential climate change transition risk: Loans collateralised by immovable property - Energy efficiency of the collateral (II),1,uneinheitlich,0000,1.0,nein,0,0,0,1,0
Large subsidiaries,43.00,Template 3 - Banking book - Indicators of potential climate change transition risk: Alignment metrics (IAE/NACE codes),1,uneinheitlich,0000,1.0,nein,0,0,0,1,0
Large subsidiaries,44.00,Template 4 - Banking book - Indicators of potential climate change transition risk: Exposures to top 20 carbon-intensive firms,1,uneinheitlich,0000,1.0,nein,0,0,0,1,0
Large subsidiaries,45.00,Template 5 - Banking book - Indicators of potential climate change physical risk: Exposures subject to physical risk (II),1,uneinheitlich,0000,1.0,nein,0,0,0,1,0
Large subsidiaries,46.00,Template 6 - Summary of GAR KPIs (II),1,uneinheitlich,0000,1.0,nein,0,0,0,1,0
Large subsidiaries,47.00,Template 7 - Mitigating actions: Assets for the calculation of GAR (II),1,uneinheitlich,0000,1.0,nein,0,0,0,1,0
Large subsidiaries,48.00,Template 8 - GAR (%) (V),1,uneinheitlich,0000,1.0,nein,0,0,0,1,0
Large subsidiaries,49.01,Template 9.1 - Mitigating actions: Assets for the calculation of BTAR,1,uneinheitlich,0000,1.0,nein,0,0,0,1,0
Large subsidiaries,49.02,Template 9.2 - BTAR % (IV),1,uneinheitlich,0000,1.0,nein,0,0,0,1,0
Large subsidiaries,49.03,Template 9.3 - Summary table - BTAR % (II),1,uneinheitlich,0000,1.0,nein,0,0,0,1,0
Large subsidiaries,50.00,Template 10 - Other climate change mitigating actions that are not covered in the EU Taxonomy,1,uneinheitlich,0000,1.0,nein,0,0,0,1,0
Large subsidiaries,60.00,EU OV1 – Overview of total risk exposure amounts (III),21,vierteljaehrlich,1111,1.0,ja,21,0,0,0,0
Large subsidiaries,61.00,EU KM1 - Key metrics template,21,vierteljaehrlich,1111,0.81,ja,17,1,1,1,1
Large subsidiaries,62.01,EU INS1 - Insurance participations,21,nie,0000,0.714,ja,0,0,5,15,1
Large subsidiaries,62.02,EU INS2 - Financial conglomerates information on own funds and capital adequacy ratio,21,nie,0000,0.714,ja,0,0,6,15,0
Large subsidiaries,63.01,EU CMS1 – Comparison of modelled and standardised risk weighted exposure amounts at risk level,21,vierteljaehrlich,1111,0.619,ja,13,0,0,7,1
Large subsidiaries,63.02,EU CMS2 – Comparison of modelled and standardised risk weighted exposure amounts for credit risk at asset class level,21,vierteljaehrlich,1111,0.619,ja,13,0,0,7,1
Large subsidiaries,64.01,EU LI1 - Differences between the accounting scope and the scope of prudential consolidation and mapping of financial statement categories with regulatory risk categories,21,uneinheitlich,0000,0.571,nein,0,0,8,12,1
Large subsidiaries,64.02,EU LI3 - Outline of the differences in the scopes of consolidation (entity by entity),21,nie,0000,0.667,ja,0,0,7,14,0
Large subsidiaries,64.03,EU LI2 - Main sources of differences between regulatory exposure amounts and carrying values in financial statements,21,nie,0000,0.667,ja,0,0,7,14,0
Large subsidiaries,65.00,EU PV1: Prudent valuation adjustments (PVA),21,nie,0000,0.714,ja,0,0,6,15,0
Large subsidiaries,66.01,EU CC1 - Composition of regulatory own funds,21,halbjaehrlich,1010,0.952,ja,1,20,0,0,0
Large subsidiaries,66.02,EU CC2 - reconciliation of regulatory own funds to balance sheet in the audited financial statements,21,halbjaehrlich,1010,0.952,ja,0,20,0,0,1
Large subsidiaries,67.01,EU CCyB1 - Geographical distribution of credit exposures relevant for the calculation of the countercyclical buffer,21,halbjaehrlich,1010,1.0,ja,0,21,0,0,0
Large subsidiaries,67.02,EU CCyB2 - Amount of institution-specific countercyclical capital buffer,21,halbjaehrlich,1010,0.952,ja,1,20,0,0,0
Large subsidiaries,68.00,EU IRRBB1 - Interest rate risks of non-trading book activities,1,uneinheitlich,0000,1.0,nein,0,0,0,1,0
Large subsidiaries,70.00,EU LR1 - LRSum: Summary reconciliation of accounting assets and leverage ratio exposures,21,halbjaehrlich,1010,1.0,ja,0,21,0,0,0
Large subsidiaries,71.00,EU LR2 - LRCom: Leverage ratio common disclosure,21,halbjaehrlich,1010,0.952,ja,0,20,1,0,0
Large subsidiaries,72.00,"EU LR3 - LRSpl: Split-up of on balance sheet exposures (excluding derivatives, SFTs and exempted exposures)",21,halbjaehrlich,1010,1.0,ja,0,21,0,0,0
Large subsidiaries,73.00,EU LIQ1 - Quantitative information of LCR,21,vierteljaehrlich,1111,1.0,ja,21,0,0,0,0
Large subsidiaries,74.00,EU LIQ2: Net Stable Funding Ratio,21,halbjaehrlich,1010,0.952,ja,0,20,0,0,1
Large subsidiaries,80.00,EU CQ1: Credit quality of forborne exposures,1,uneinheitlich,1010,1.0,nein,0,1,0,0,0
Large subsidiaries,81.00,EU CQ2: Quality of forbearance,1,uneinheitlich,0000,1.0,nein,0,0,0,1,0
Large subsidiaries,82.00,EU CQ3: Credit quality of performing and non-performing exposures by past due days,1,uneinheitlich,0010,1.0,nein,0,0,1,0,0
Large subsidiaries,83.01,EU CQ4: Quality of non-performing exposures by geography,1,uneinheitlich,1010,1.0,nein,0,1,0,0,0
Large subsidiaries,84.01,EU CQ5: Credit quality of loans and advances by industry,1,uneinheitlich,1010,1.0,nein,0,1,0,0,0
Large subsidiaries,85.00,EU CQ6: Collateral valuation - loans and advances,1,uneinheitlich,0000,1.0,nein,0,0,0,1,0
Large subsidiaries,86.00,EU CQ7: Collateral obtained by taking possession and execution processes,1,uneinheitlich,1010,1.0,nein,0,1,0,0,0
Large subsidiaries,87.00,EU CQ8: Collateral obtained by taking possession and execution processes – vintage breakdown,1,uneinheitlich,0000,1.0,nein,0,0,0,1,0
Large subsidiaries,90.01,"EU KM2 - Key metrics - MREL and, where applicable, G-SII requirement for own funds and eligible liabilities",1,uneinheitlich,1111,1.0,nein,1,0,0,0,0
Large subsidiaries,91.00,"EU TLAC1 - Composition - MREL and, where applicable, G-SII requirement for own funds and eligible liabilities",1,uneinheitlich,1010,1.0,nein,0,1,0,0,0
Large subsidiaries,93.00,"EU ILAC - Internal loss absorbing capacity: internal MREL and, where applicable, requirement for own funds and eligible liabilities for non-EU G-SIIs",1,uneinheitlich,0000,1.0,nein,0,0,0,1,0
Large subsidiaries,95.00,EU TLAC2a - Creditor ranking - Entity that is not a resolution entity,1,uneinheitlich,0000,1.0,nein,0,0,0,1,0
Large subsidiaries,96.00,EU TLAC2b: Creditor ranking - Entity that is not a resolution entity,1,uneinheitlich,0000,1.0,nein,0,0,0,1,0
Large subsidiaries,97.00,EU TLAC3a - creditor ranking - resolution entity,1,uneinheitlich,1010,1.0,nein,0,1,0,0,0
Large subsidiaries,98.00,EU TLAC3b: creditor ranking - resolution entity,1,uneinheitlich,0000,1.0,nein,0,0,0,1,0
Other highest EEA,00.05,Accompanying narrative MREL/TLACDIS,1,uneinheitlich,1111,1.0,nein,1,0,0,0,0
Other highest EEA,90.01,"EU KM2 - Key metrics - MREL and, where applicable, G-SII requirement for own funds and eligible liabilities",1,uneinheitlich,1111,1.0,nein,1,0,0,0,0
Other highest EEA,91.00,"EU TLAC1 - Composition - MREL and, where applicable, G-SII requirement for own funds and eligible liabilities",1,uneinheitlich,1010,1.0,nein,0,1,0,0,0
Other highest EEA,93.00,"EU ILAC - Internal loss absorbing capacity: internal MREL and, where applicable, requirement for own funds and eligible liabilities for non-EU G-SIIs",1,uneinheitlich,0000,1.0,nein,0,0,0,1,0
Other highest EEA,95.00,EU TLAC2a - Creditor ranking - Entity that is not a resolution entity,1,uneinheitlich,0000,1.0,nein,0,0,0,1,0
Other highest EEA,96.00,EU TLAC2b: Creditor ranking - Entity that is not a resolution entity,1,uneinheitlich,0000,1.0,nein,0,0,0,1,0
Other highest EEA,97.00,EU TLAC3a - creditor ranking - resolution entity,1,uneinheitlich,0000,1.0,nein,0,0,0,1,0
Other highest EEA,98.00,EU TLAC3b: creditor ranking - resolution entity,1,uneinheitlich,0000,1.0,nein,0,0,0,1,0
