lei,scope,refPeriod,bank_name,country,institution_type,kredite_eur,npe_eur,npl_quote,forborne_performing_eur,vorstufe_quote,forborne_non_performing_eur,npf_quote,vorstufe_verhaeltnis,wb_npe_eur,wb_vorzeichen,deckungsquote,npl_unter_median,fruehwarnung
3TK20IVIUJ8J3ZU0QE75,CON,2025-12-31,ING Bank N.V.,Netherlands,Large subsidiaries,827400000000.00,12767000000.00,0.015430,7854000000.00,0.009492,5771000000.00,0.006975,0.6152,-4404000000.00,negativ,0.344952,ja,nein
485100FX5Y9YLAQLNP12,CON,2025-12-31,Revolut Holdings Europe UAB,Lithuania,Large highest EEA,10505189387.00,68040533.00,0.006477,9035476.00,0.000860,784905.00,0.000075,0.1328,-53411154.00,negativ,0.784990,ja,nein
5299000F1CGJQ8NAXQ58,IND,2025-12-31,MERKANTI BANK LTD,Malta,Other highest EEA,16516930.53,792600.00,0.047987,0.00,0.000000,792600.00,0.047987,0.0000,0.00,null,0.000000,nein,nein
5299000PCY1EP8QJFV48,CON,2025-12-31,United Bulgarian Bank AD,Bulgaria,Large subsidiaries,16036196.41,308435.59,0.019234,123800.05,0.007720,101935.32,0.006357,0.4014,-150166.25,negativ,0.486864,ja,nein
5299000R7WZOVIFHLN21,CON,2025-12-31,BFS SozialFinanz AG,Germany,Other highest EEA,5895672482.26,100901400.27,0.017114,37933146.18,0.006434,7627470.88,0.001294,0.3759,-44964166.91,negativ,0.445625,ja,nein
5299001ADI8FLGT0GU28,IND,2025-12-31,Sparkasse KölnBonn,Germany,Other highest EEA,23131193376.96,506856291.06,0.021912,9226638.98,0.000399,115391363.25,0.004989,0.0182,-177501267.86,negativ,0.350200,nein,nein
5299001PEMDU9N24CH60,CON,2025-12-31,DELAVSKA HRANILNICA d.d. LJUBLJANA,Slovenia,Other highest EEA,1176974000.00,16475000.00,0.013998,4696000.00,0.003990,4418000.00,0.003754,0.2850,-6957000.00,negativ,0.422276,ja,nein
52990026HQOTT4AJP655,IND,2025-12-31,GLS Gemeinschaftsbank e.G.,Germany,Other highest EEA,7655520521.49,175516077.15,0.022927,36171446.10,0.004725,69395936.55,0.009065,0.2061,-92993631.20,negativ,0.529830,nein,nein
5299002GPCR602QYJC04,CON,2025-12-31,KfW Beteiligungsholding GmbH,Germany,Large highest EEA,39484510672.84,1125711717.11,0.028510,416735207.61,0.010554,470061209.89,0.011905,0.3702,-351947910.81,negativ,0.312645,nein,nein
52990033C5FUEN4LMC06,IND,2025-12-31,BANCA POPOLARE DELL'ALTO ADIGE SOCIETA' PER AZIONI (IN TEDESCO SUDTIROLER VOLKSBANK A.G.),Italy,Other highest EEA,7707896126.00,265141399.00,0.034399,126556758.00,0.016419,106733687.00,0.013847,0.4773,-149005457.00,negativ,0.561985,nein,nein
5299005OACOC1C1OFJ11,IND,2025-12-31,Raiffeisen-Landesbank Tirol AG,Austria,Other highest EEA,5933269595.61,76758275.91,0.012937,71391134.46,0.012032,36998773.00,0.006236,0.9301,-29455518.20,negativ,0.383744,ja,nein
5299005UJX6K7BQKV086,CON,2025-12-31,OTP banka d.d.,Croatia,Large subsidiaries,7664054194.49,210061175.63,0.027409,23128179.64,0.003018,41046298.33,0.005356,0.1101,,,,nein,nein
52990061592SQLEJN964,IND,2025-12-31,Volksbank Mittelhessen eG,Germany,Other highest EEA,9665796496.14,400973898.07,0.041484,5509013.82,0.000570,102955066.28,0.010651,0.0137,-113359335.46,negativ,0.282710,nein,nein
5299007S3UH5RKUYDA52,IND,2025-12-31,DEUTSCHE APOTHEKER- UND ÄRZTEBANK EG,Germany,Large highest EEA,36485491753.34,679543745.10,0.018625,80824556.36,0.002215,194261370.21,0.005324,0.1189,-316481763.90,negativ,0.465727,ja,nein
52990089LBIKLBM8YB23,IND,2025-12-31,VR Bank Nord eG,Germany,Other highest EEA,4534362557.63,126989389.55,0.028006,46561002.42,0.010268,24920938.55,0.005496,0.3667,-40451351.66,negativ,0.318541,nein,nein
5299008FEH4GQXGZNP50,CON,2025-12-31,"BANCO CTT, S.A.",Portugal,Other highest EEA,2113718.00,110503.00,0.052279,14832.00,0.007017,21851.00,0.010338,0.1342,-49873.00,negativ,0.451327,nein,nein
5299008I0TO44SUINZ71,IND,2025-12-31,Oldenburgische Landesbank Aktiengesellschaft,Germany,Large highest EEA,26577348810.06,734343509.55,0.027630,534622908.51,0.020116,447727210.08,0.016846,0.7280,-195755437.20,negativ,0.266572,nein,nein
52990093INYLJNWHQ228,IND,2025-12-31,Volksbank eG - Die Gestalterbank,Germany,Other highest EEA,8374478984.17,507993285.66,0.060660,13936667.75,0.001664,72896655.04,0.008705,0.0274,-197957838.21,negativ,0.389686,nein,nein
52990096Q5LMCH1WU462,CON,2025-12-31,"Československá obchodná banka, a.s.",Slovakia,Large subsidiaries,13182.00,203.00,0.015400,65.00,0.004931,47.00,0.003565,0.3202,-95.00,negativ,0.467980,ja,nein
5299009EHB4RBGMI5828,IND,2025-12-31,Raiffeisen Landesbank Kärnten und Revisionsverband eGen,Austria,Other highest EEA,2056.73,117.05,0.056911,33.06,0.016074,55.98,0.027218,0.2824,-32.67,negativ,0.279111,nein,nein
