entityID,refPeriod,framework_version,template_id,template_reported,datapoint_code,cell_row,cell_col,fact_value,baseCurrency,decimalsMonetary
rs:0W2PZJM8XOY22M4GG883.CON,2025-06-30,4.1,04.00.A,True,dp3293644,0070,0040,0.45,iso4217:EUR,-6
rs:0W2PZJM8XOY22M4GG883.CON,2025-06-30,4.1,04.00.A,True,dp3293644,0070,0040,0.403489,iso4217:EUR,-6
rs:0W2PZJM8XOY22M4GG883.CON,2025-06-30,4.1,04.00.A,True,dp3293644,0070,0040,0.4,iso4217:EUR,-6
rs:0W2PZJM8XOY22M4GG883.CON,2025-06-30,4.1,04.00.A,True,dp3293647,0030,0040,0.4,iso4217:EUR,-6
rs:0W2PZJM8XOY22M4GG883.CON,2025-06-30,4.1,04.00.A,True,dp3293647,0030,0040,0.45,iso4217:EUR,-6
rs:0W2PZJM8XOY22M4GG883.CON,2025-06-30,4.1,04.00.A,True,dp3293647,0030,0040,0.390297,iso4217:EUR,-6
rs:0W2PZJM8XOY22M4GG883.CON,2025-06-30,4.1,04.00.A,True,dp3293647,0030,0040,0.400898,iso4217:EUR,-6
rs:0W2PZJM8XOY22M4GG883.CON,2025-06-30,4.1,04.00.A,True,dp3293648,0020,0040,0.4,iso4217:EUR,-6
rs:0W2PZJM8XOY22M4GG883.CON,2025-06-30,4.1,04.00.A,True,dp3293648,0020,0040,0.40123,iso4217:EUR,-6
rs:0W2PZJM8XOY22M4GG883.CON,2025-06-30,4.1,04.00.A,True,dp3293648,0020,0040,0.45,iso4217:EUR,-6
rs:0W2PZJM8XOY22M4GG883.CON,2025-06-30,4.1,04.00.A,True,dp3293648,0020,0040,0.421756,iso4217:EUR,-6
rs:0W2PZJM8XOY22M4GG883.CON,2025-06-30,4.1,04.00.A,True,dp3293650,0010,0040,0.41422,iso4217:EUR,-6
rs:0W2PZJM8XOY22M4GG883.CON,2025-06-30,4.1,04.00.A,True,dp3293650,0010,0040,0.4,iso4217:EUR,-6
rs:0W2PZJM8XOY22M4GG883.CON,2025-06-30,4.1,04.00.A,True,dp3293650,0010,0040,0.423503,iso4217:EUR,-6
rs:0W2PZJM8XOY22M4GG883.CON,2025-06-30,4.1,04.00.A,True,dp3293650,0010,0040,0.449998,iso4217:EUR,-6
rs:0W2PZJM8XOY22M4GG883.CON,2025-06-30,4.1,04.00.A,True,dp3293650,0010,0040,0.45,iso4217:EUR,-6
rs:0W2PZJM8XOY22M4GG883.CON,2025-06-30,4.1,04.00.A,True,dp3293710,0090,0040,0.449997,iso4217:EUR,-6
rs:0W2PZJM8XOY22M4GG883.CON,2025-06-30,4.1,04.00.A,True,dp3293710,0090,0040,0.45,iso4217:EUR,-6
rs:0W2PZJM8XOY22M4GG883.CON,2025-06-30,4.1,04.00.A,True,dp3293710,0090,0040,0.425932,iso4217:EUR,-6
rs:0W2PZJM8XOY22M4GG883.CON,2025-06-30,4.1,04.00.A,True,dp3293710,0090,0040,0.396412,iso4217:EUR,-6
rs:0W2PZJM8XOY22M4GG883.CON,2025-06-30,4.1,04.00.A,True,dp3293710,0090,0040,0.408527,iso4217:EUR,-6
rs:0W2PZJM8XOY22M4GG883.CON,2025-06-30,4.1,04.00.A,True,dp3293714,0060,0040,0.397971,iso4217:EUR,-6
rs:0W2PZJM8XOY22M4GG883.CON,2025-06-30,4.1,04.00.A,True,dp3293716,0040,0040,0.4,iso4217:EUR,-6
rs:0W2PZJM8XOY22M4GG883.CON,2025-06-30,4.1,04.00.A,True,dp3293716,0040,0040,0.4,iso4217:EUR,-6
rs:0W2PZJM8XOY22M4GG883.CON,2025-06-30,4.1,04.00.A,True,dp3293716,0040,0040,0.415994,iso4217:EUR,-6
rs:0W2PZJM8XOY22M4GG883.CON,2025-06-30,4.1,04.00.A,True,dp3293717,0080,0040,0.4,iso4217:EUR,-6
rs:0W2PZJM8XOY22M4GG883.CON,2025-06-30,4.1,04.00.A,True,dp3293717,0080,0040,0.4,iso4217:EUR,-6
rs:0W2PZJM8XOY22M4GG883.CON,2025-06-30,4.1,04.00.A,True,dp3294213,0090,0020,0.000114,iso4217:EUR,-6
rs:0W2PZJM8XOY22M4GG883.CON,2025-06-30,4.1,04.00.A,True,dp3294213,0090,0020,0.000826,iso4217:EUR,-6
rs:0W2PZJM8XOY22M4GG883.CON,2025-06-30,4.1,04.00.A,True,dp3294213,0090,0020,0.006727,iso4217:EUR,-6
