lei,name,typ,land,signifikanz,gruppenkopf_lei,gruppenkopf_name,im_bestand,gruppe_im_bestand,einordnung,namenstreffer
529900JQOOP40RCT9O97,Raiffeisenbank Attersee-Süd eGen,CI,Austria,LSI,,,false,false,keine_gruppe_bekannt,
529900JRPX3ZQ025KP77,Raiffeisenbank Kundl-Münster eGen,CI,Austria,LSI,,,false,false,keine_gruppe_bekannt,
529900JSUX30WA3SLJ75,"Raiffeisenkasse für Mutters, Natters und Kreith registrierte Genossenschaft mit beschränkter Haftung",CI,Austria,LSI,,,false,false,keine_gruppe_bekannt,
529900JVEDZDVL51Z085,Raiffeisenbank Leibnitz eGen,CI,Austria,LSI,,,false,false,keine_gruppe_bekannt,
529900K1JBMMT2QTSF23,Raiffeisenbank Feldkirchen-Goldwörth eGen,CI,Austria,LSI,,,false,false,keine_gruppe_bekannt,
529900KD0L0FDTDAPJ25,Posojilnica eGen,FH,Austria,LSI,,,false,false,keine_gruppe_bekannt,
529900KELJW0X5IGKS48,Raiffeisenbank Straßwalchen eGen,CI,Austria,LSI,,,false,false,keine_gruppe_bekannt,
529900KGROBWC23LXL85,Raiffeisenbank Hippach-Hart eGen.,CI,Austria,LSI,,,false,false,keine_gruppe_bekannt,
529900KKMSLF6I7F5T86,Raiffeisenbank Aichfeld eGen,CI,Austria,LSI,,,false,false,keine_gruppe_bekannt,
529900KM8P1Q4L0HCX48,Raiffeisenbank Region Fürstenfeld eGen,CI,Austria,LSI,,,false,false,keine_gruppe_bekannt,
529900KN7BJCPCXNHH34,Raiffeisenbank Golling-Scheffau-Kellau registrierte Genossenschaft mit beschränkter Haftung,CI,Austria,LSI,,,false,false,keine_gruppe_bekannt,
529900KNDF2BG6A18Q42,Raiffeisenbank Walding-Ottensheim eGen,CI,Austria,LSI,,,false,false,keine_gruppe_bekannt,
529900KUZWNTDRVVC681,Raiffeisenbank Aist eGen,CI,Austria,LSI,,,false,false,keine_gruppe_bekannt,
529900KVZTRFYOIY3C40,Raiffeisenbank Oberes Innviertel eGen,CI,Austria,LSI,,,false,false,keine_gruppe_bekannt,
529900KYPXTATAT5ZN25,Raiffeisenbank Zirbenland eGen,CI,Austria,LSI,,,false,false,keine_gruppe_bekannt,
529900L0C41F3FUM7O57,Raiffeisenbank Hohenems registrierte Genossenschaft mit beschränkter Haftung,CI,Austria,LSI,,,false,false,keine_gruppe_bekannt,
529900L1D5CYVFE95A28,Raiffeisenbank Mittel- und Hinterbregenzerwald eGen,CI,Austria,LSI,,,false,false,keine_gruppe_bekannt,
529900L2BWCD9XBNJL68,Raiffeisenbank Taxenbach eGen,CI,Austria,LSI,,,false,false,keine_gruppe_bekannt,
