lei,bank_name,country,consolidation,refdate,submission_ts,im_xbrl_bestand,url
213800KYUPNOQPAQL758,BANCO DE INVESTIMENTO GLOBAL S.A.,PT,CON,2025-12-31,20260619165300000,true,https://errp.eba.europa.eu/public-documents/P3REMDISDOCS/input/213800KYUPNOQPAQL758.CON_PT_PILLAR3010000_P3REMDISDOCS_2025-12-31_20260619165300000.zip
213800M7T3CYVZ3ZRT12,Sparebanken Norge,NO,CON,2025-12-31,20260327091500000,true,https://errp.eba.europa.eu/public-documents/P3NONREMDISDOCS/input/213800M7T3CYVZ3ZRT12.CON_NO_PILLAR3010000_P3NONREMDISDOCS_2025-12-31_20260327091500000.zip
213800MLL4APN9UP1J53,Rise Sparekasse,DK,IND,2025-12-31,20260317151600000,true,https://errp.eba.europa.eu/public-documents/P3NONREMDISDOCS/input/213800MLL4APN9UP1J53.IND_DK_PILLAR3010000_P3NONREMDISDOCS_2025-12-31_20260317151600000.zip
213800P1P13ABO5R9V78,Societe Generale Bank - Cyprus Ltd,CY,IND,2025-12-31,20260625153451367,true,https://errp.eba.europa.eu/public-documents/P3REMDISDOCS/input/213800P1P13ABO5R9V78.IND_CY_PILLAR3010000_P3REMDISDOCS_2025-12-31_20260625153451367.zip
213800RENLNKMWZV8767,Lollands Bank A/S,DK,CON,2025-12-31,20260324161200000,true,https://errp.eba.europa.eu/public-documents/P3NONREMDISDOCS/input/213800RENLNKMWZV8767.CON_DK_PILLAR3010000_P3NONREMDISDOCS_2025-12-31_20260324161200000.zip
213800TC9PZRBHMJW403,MDB Group Limited,MT,CON,2025-06-30,20260128105932080,true,https://errp.eba.europa.eu/public-documents/P3NONREMDISDOCS/input/213800TC9PZRBHMJW403.CON_MT_PILLAR3010000_P3NONREMDISDOCS_2025-06-30_20260128105932080.zip
213800TC9PZRBHMJW403,MDB Group Limited,MT,CON,2025-09-30,20260128105932080,true,https://errp.eba.europa.eu/public-documents/P3NONREMDISDOCS/input/213800TC9PZRBHMJW403.CON_MT_PILLAR3010000_P3NONREMDISDOCS_2025-09-30_20260128105932080.zip
213800TC9PZRBHMJW403,MDB Group Limited,MT,CON,2025-12-31,20260625105932080,true,https://errp.eba.europa.eu/public-documents/P3NONREMDISDOCS/input/213800TC9PZRBHMJW403.CON_MT_PILLAR3010000_P3NONREMDISDOCS_2025-12-31_20260625105932080.zip
213800UIIZ6YSEQB5S26,Clearstream Fund Centre Holding S.A.,LU,CON,2025-12-31,20260520195929613,true,https://errp.eba.europa.eu/public-documents/P3NONREMDISDOCS/input/213800UIIZ6YSEQB5S26.CON_LU_PILLAR3010000_P3NONREMDISDOCS_2025-12-31_20260520195929613.zip
213800UK7516IBWZO445,Borbjerg Sparekasse,DK,IND,2025-12-31,20260313153200000,true,https://errp.eba.europa.eu/public-documents/P3NONREMDISDOCS/input/213800UK7516IBWZO445.IND_DK_PILLAR3010000_P3NONREMDISDOCS_2025-12-31_20260313153200000.zip
213800UYAHIRLZ4NSN67,Lån & Spar Bank A/S,DK,IND,2025-06-30,20260226113349252,true,https://errp.eba.europa.eu/public-documents/P3NONREMDISDOCS/input/213800UYAHIRLZ4NSN67.IND_DK_PILLAR3010000_P3NONREMDISDOCS_2025-06-30_20260226113349252.zip
213800UYAHIRLZ4NSN67,Lån & Spar Bank A/S,DK,IND,2025-12-31,20260226113039680,true,https://errp.eba.europa.eu/public-documents/P3NONREMDISDOCS/input/213800UYAHIRLZ4NSN67.IND_DK_PILLAR3010000_P3NONREMDISDOCS_2025-12-31_20260226113039680.zip
213800X3Q9LSAKRUWY91,KBC Groupe,BE,CON,2025-06-30,20250209131402001,true,https://errp.eba.europa.eu/public-documents/P3NONREMDISDOCS/input/213800X3Q9LSAKRUWY91.CON_BE_PILLAR3010000_P3NONREMDISDOCS_2025-06-30_20250209131402001.zip
