template_id,cell_row,cell_col,row_label,col_label,dp_41,dp_42,status
03.00,0060,0030,6. Institutions,c. 4%,dp3526997,dp3526997,stable
03.00,0060,0040,6. Institutions,d. 10%,dp3527657,dp3527657,stable
03.00,0060,0050,6. Institutions,e. 20%,dp3528317,dp3528317,stable
03.00,0060,0060,6. Institutions,f. 50%,dp3526988,dp3526988,stable
03.00,0060,0070,6. Institutions,g. 70%,dp3527050,dp3527050,stable
03.00,0060,0080,6. Institutions,h. 75%,dp3527013,dp3527013,stable
03.00,0060,0090,6. Institutions,i. 100%,dp3527041,dp3527041,stable
03.00,0060,0100,6. Institutions,j. 150%,dp3527034,dp3527034,stable
03.00,0060,0110,6. Institutions,k. Others,dp3527029,dp3527029,stable
03.00,0060,0120,6. Institutions,l. Total exposure value,dp3526980,dp3526980,stable
03.00,0070,0010,7. Corporates,a. 0%,dp3526984,dp3526984,stable
03.00,0070,0020,7. Corporates,b. 2%,dp3527664,dp3527664,stable
03.00,0070,0030,7. Corporates,c. 4%,dp3527023,dp3527023,stable
03.00,0070,0040,7. Corporates,d. 10%,dp3527659,dp3527659,stable
03.00,0070,0050,7. Corporates,e. 20%,dp3526994,dp3526994,stable
03.00,0070,0060,7. Corporates,f. 50%,dp3528312,dp3528312,stable
03.00,0070,0070,7. Corporates,g. 70%,dp3527654,dp3527654,stable
03.00,0070,0080,7. Corporates,h. 75%,dp3527015,dp3527015,stable
03.00,0070,0090,7. Corporates,i. 100%,dp3527009,dp3527009,stable
03.00,0070,0100,7. Corporates,j. 150%,dp3527036,dp3527036,stable
03.00,0070,0110,7. Corporates,k. Others,dp3527030,dp3527030,stable
03.00,0070,0120,7. Corporates,l. Total exposure value,dp3528293,dp3528293,stable
03.00,0080,0010,8. Retail,a. 0%,dp3528298,dp3528298,stable
03.00,0080,0020,8. Retail,b. 2%,dp3527660,dp3527660,stable
03.00,0080,0030,8. Retail,c. 4%,dp3528320,dp3528320,stable
03.00,0080,0040,8. Retail,d. 10%,dp3527051,dp3527051,stable
03.00,0080,0050,8. Retail,e. 20%,dp3528313,dp3528313,stable
03.00,0080,0060,8. Retail,f. 50%,dp3526985,dp3526985,stable
03.00,0080,0070,8. Retail,g. 70%,dp3527048,dp3527048,stable
03.00,0080,0080,8. Retail,h. 75%,dp3527043,dp3527043,stable
03.00,0080,0090,8. Retail,i. 100%,dp3527039,dp3527039,stable
03.00,0080,0100,8. Retail,j. 150%,dp3527002,dp3527002,stable
03.00,0080,0110,8. Retail,k. Others,dp3527000,dp3527000,stable
03.00,0080,0120,8. Retail,l. Total exposure value,dp3526976,dp3526976,stable
03.00,0090,0010,9. Institutions and corporates with a short-term credit assessment,a. 0%,dp3528303,dp3528303,stable
03.00,0090,0020,9. Institutions and corporates with a short-term credit assessment,b. 2%,dp3527060,dp3527060,stable
03.00,0090,0030,9. Institutions and corporates with a short-term credit assessment,c. 4%,dp3526998,dp3526998,stable
03.00,0090,0040,9. Institutions and corporates with a short-term credit assessment,d. 10%,dp3527658,dp3527658,stable
03.00,0090,0050,9. Institutions and corporates with a short-term credit assessment,e. 20%,dp3526993,dp3526993,stable
03.00,0090,0060,9. Institutions and corporates with a short-term credit assessment,f. 50%,dp3526989,dp3526989,stable
03.00,0090,0070,9. Institutions and corporates with a short-term credit assessment,g. 70%,dp3527176,dp3527176,stable
03.00,0090,0080,9. Institutions and corporates with a short-term credit assessment,h. 75%,dp3527014,dp3527014,stable
03.00,0090,0090,9. Institutions and corporates with a short-term credit assessment,i. 100%,dp3527042,dp3527042,stable
03.00,0090,0100,9. Institutions and corporates with a short-term credit assessment,j. 150%,dp3527035,dp3527035,stable
03.00,0090,0110,9. Institutions and corporates with a short-term credit assessment,k. Others,dp3527001,dp3527001,stable
03.00,0090,0120,9. Institutions and corporates with a short-term credit assessment,l. Total exposure value,dp3528284,dp3528284,stable
03.00,0100,0010,10. Other items,a. 0%,dp3528309,dp3528309,stable
03.00,0100,0020,10. Other items,b. 2%,dp3527666,dp3527666,stable
03.00,0100,0030,10. Other items,c. 4%,dp3527024,dp3527024,stable
03.00,0100,0040,10. Other items,d. 10%,dp3527057,dp3527057,stable
03.00,0100,0050,10. Other items,e. 20%,dp3526995,dp3526995,stable
03.00,0100,0060,10. Other items,f. 50%,dp3526991,dp3526991,stable
03.00,0100,0070,10. Other items,g. 70%,dp3527656,dp3527656,stable
03.00,0100,0080,10. Other items,h. 75%,dp3527016,dp3527016,stable
03.00,0100,0090,10. Other items,i. 100%,dp3527011,dp3527011,stable
03.00,0100,0100,10. Other items,j. 150%,dp3527038,dp3527038,stable
03.00,0100,0110,10. Other items,k. Others,dp3527032,dp3527032,stable
03.00,0100,0120,10. Other items,l. Total exposure value,dp3526982,dp3526982,stable
03.00,0110,0010,11. Total exposure value,a. 0%,dp3527742,dp3527742,stable
03.00,0110,0020,11. Total exposure value,b. 2%,dp3527651,dp3527651,stable
03.00,0110,0030,11. Total exposure value,c. 4%,dp3527739,dp3527739,stable
03.00,0110,0040,11. Total exposure value,d. 10%,dp3527650,dp3527650,stable
03.00,0110,0050,11. Total exposure value,e. 20%,dp3527740,dp3527740,stable
03.00,0110,0060,11. Total exposure value,f. 50%,dp3527741,dp3527741,stable
03.00,0110,0070,11. Total exposure value,g. 70%,dp3527735,dp3527735,stable
03.00,0110,0080,11. Total exposure value,h. 75%,dp3527736,dp3527736,stable
03.00,0110,0090,11. Total exposure value,i. 100%,dp3527649,dp3527649,stable
03.00,0110,0100,11. Total exposure value,j. 150%,dp3527737,dp3527737,stable
03.00,0110,0110,11. Total exposure value,k. Others,dp3527738,dp3527738,stable
03.00,0110,0120,11. Total exposure value,l. Total exposure value,dp3528245,dp3528245,stable
05.00.A,0010,0010,01. Cash – domestic currency,a. Segregated,dp475253,dp475253,stable
05.00.A,0010,0020,01. Cash – domestic currency,b. Unsegregated,dp475254,dp475254,stable
05.00.A,0010,0050,01. Cash – domestic currency,e. Segregated,dp475251,dp475251,stable
05.00.A,0010,0060,01. Cash – domestic currency,f. Unsegregated,dp475252,dp475252,stable
05.00.A,0020,0010,2. Cash – other currencies,a. Segregated,dp475269,dp475269,stable
05.00.A,0020,0020,2. Cash – other currencies,b. Unsegregated,dp475270,dp475270,stable
05.00.A,0020,0050,2. Cash – other currencies,e. Segregated,dp475267,dp475267,stable
05.00.A,0020,0060,2. Cash – other currencies,f. Unsegregated,dp475268,dp475268,stable
05.00.A,0030,0010,3. Domestic sovereign debt,a. Segregated,dp475245,dp475245,stable
05.00.A,0030,0020,3. Domestic sovereign debt,b. Unsegregated,dp475246,dp475246,stable
05.00.A,0030,0050,3. Domestic sovereign debt,e. Segregated,dp475243,dp475243,stable
05.00.A,0030,0060,3. Domestic sovereign debt,f. Unsegregated,dp475244,dp475244,stable
05.00.A,0040,0010,4. Other sovereign debt,a. Segregated,dp475261,dp475261,stable
