datapoint_code,frequency,label,unit,template
dp458851,29,[TODO: DPM lookup] dp458851,[TODO],[TODO]
dp458900,3,[TODO: DPM lookup] dp458900,[TODO],[TODO]
dp458903,4,[TODO: DPM lookup] dp458903,[TODO],[TODO]
dp458905,4,[TODO: DPM lookup] dp458905,[TODO],[TODO]
dp458923,2,[TODO: DPM lookup] dp458923,[TODO],[TODO]
dp458934,3,[TODO: DPM lookup] dp458934,[TODO],[TODO]
dp458936,9,[TODO: DPM lookup] dp458936,[TODO],[TODO]
dp458940,9,[TODO: DPM lookup] dp458940,[TODO],[TODO]
dp469246,9,[TODO: DPM lookup] dp469246,[TODO],[TODO]
dp472886,18,[TODO: DPM lookup] dp472886,[TODO],[TODO]
dp472887,18,[TODO: DPM lookup] dp472887,[TODO],[TODO]
dp472891,18,[TODO: DPM lookup] dp472891,[TODO],[TODO]
dp472892,18,[TODO: DPM lookup] dp472892,[TODO],[TODO]
dp472897,18,[TODO: DPM lookup] dp472897,[TODO],[TODO]
dp472898,18,[TODO: DPM lookup] dp472898,[TODO],[TODO]
dp472900,16,[TODO: DPM lookup] dp472900,[TODO],[TODO]
dp472901,16,[TODO: DPM lookup] dp472901,[TODO],[TODO]
dp473217,1,[TODO: DPM lookup] dp473217,[TODO],[TODO]
dp473436,1,[TODO: DPM lookup] dp473436,[TODO],[TODO]
dp474415,5,[TODO: DPM lookup] dp474415,[TODO],[TODO]
dp474426,5,[TODO: DPM lookup] dp474426,[TODO],[TODO]
dp474427,5,[TODO: DPM lookup] dp474427,[TODO],[TODO]
dp474449,5,[TODO: DPM lookup] dp474449,[TODO],[TODO]
dp474578,2,[TODO: DPM lookup] dp474578,[TODO],[TODO]
dp474579,12,[TODO: DPM lookup] dp474579,[TODO],[TODO]
dp474692,5,[TODO: DPM lookup] dp474692,[TODO],[TODO]
dp474693,12,[TODO: DPM lookup] dp474693,[TODO],[TODO]
dp474902,5,[TODO: DPM lookup] dp474902,[TODO],[TODO]
dp474924,5,[TODO: DPM lookup] dp474924,[TODO],[TODO]
dp475185,5,[TODO: DPM lookup] dp475185,[TODO],[TODO]
dp475191,5,[TODO: DPM lookup] dp475191,[TODO],[TODO]
dp475194,8,[TODO: DPM lookup] dp475194,[TODO],[TODO]
dp475195,1,[TODO: DPM lookup] dp475195,[TODO],[TODO]
dp475196,1,[TODO: DPM lookup] dp475196,[TODO],[TODO]
dp475198,3,[TODO: DPM lookup] dp475198,[TODO],[TODO]
dp475199,3,[TODO: DPM lookup] dp475199,[TODO],[TODO]
dp475203,5,[TODO: DPM lookup] dp475203,[TODO],[TODO]
dp475204,5,[TODO: DPM lookup] dp475204,[TODO],[TODO]
dp475209,20,[TODO: DPM lookup] dp475209,[TODO],[TODO]
dp475210,19,[TODO: DPM lookup] dp475210,[TODO],[TODO]
dp475211,19,[TODO: DPM lookup] dp475211,[TODO],[TODO]
dp475212,18,[TODO: DPM lookup] dp475212,[TODO],[TODO]
dp475213,19,[TODO: DPM lookup] dp475213,[TODO],[TODO]
dp475214,20,[TODO: DPM lookup] dp475214,[TODO],[TODO]
dp475215,19,[TODO: DPM lookup] dp475215,[TODO],[TODO]
dp475216,19,[TODO: DPM lookup] dp475216,[TODO],[TODO]
dp475217,18,[TODO: DPM lookup] dp475217,[TODO],[TODO]
dp475218,19,[TODO: DPM lookup] dp475218,[TODO],[TODO]
dp475219,33,[TODO: DPM lookup] dp475219,[TODO],[TODO]
dp475220,33,[TODO: DPM lookup] dp475220,[TODO],[TODO]
dp475221,32,[TODO: DPM lookup] dp475221,[TODO],[TODO]
dp475222,19,[TODO: DPM lookup] dp475222,[TODO],[TODO]
dp475223,19,[TODO: DPM lookup] dp475223,[TODO],[TODO]
dp475224,19,[TODO: DPM lookup] dp475224,[TODO],[TODO]
dp475225,18,[TODO: DPM lookup] dp475225,[TODO],[TODO]
dp475226,19,[TODO: DPM lookup] dp475226,[TODO],[TODO]
dp475227,19,[TODO: DPM lookup] dp475227,[TODO],[TODO]
dp475228,19,[TODO: DPM lookup] dp475228,[TODO],[TODO]
dp475229,18,[TODO: DPM lookup] dp475229,[TODO],[TODO]
dp475230,19,[TODO: DPM lookup] dp475230,[TODO],[TODO]
dp475231,19,[TODO: DPM lookup] dp475231,[TODO],[TODO]
dp475232,19,[TODO: DPM lookup] dp475232,[TODO],[TODO]
dp475233,18,[TODO: DPM lookup] dp475233,[TODO],[TODO]
dp475234,19,[TODO: DPM lookup] dp475234,[TODO],[TODO]
dp475240,2,[TODO: DPM lookup] dp475240,[TODO],[TODO]
dp475242,2,[TODO: DPM lookup] dp475242,[TODO],[TODO]
dp475244,2,[TODO: DPM lookup] dp475244,[TODO],[TODO]
dp475245,2,[TODO: DPM lookup] dp475245,[TODO],[TODO]
dp475246,2,[TODO: DPM lookup] dp475246,[TODO],[TODO]
dp475248,2,[TODO: DPM lookup] dp475248,[TODO],[TODO]
dp475250,8,[TODO: DPM lookup] dp475250,[TODO],[TODO]
dp475252,2,[TODO: DPM lookup] dp475252,[TODO],[TODO]
dp475253,1,[TODO: DPM lookup] dp475253,[TODO],[TODO]
dp475254,7,[TODO: DPM lookup] dp475254,[TODO],[TODO]
dp475256,2,[TODO: DPM lookup] dp475256,[TODO],[TODO]
dp475258,2,[TODO: DPM lookup] dp475258,[TODO],[TODO]
dp475260,2,[TODO: DPM lookup] dp475260,[TODO],[TODO]
dp475261,2,[TODO: DPM lookup] dp475261,[TODO],[TODO]
dp475262,2,[TODO: DPM lookup] dp475262,[TODO],[TODO]
dp475264,2,[TODO: DPM lookup] dp475264,[TODO],[TODO]
dp475265,1,[TODO: DPM lookup] dp475265,[TODO],[TODO]
dp475266,7,[TODO: DPM lookup] dp475266,[TODO],[TODO]
